Région-Département,"L’espérance de vie"
"Alsace - Bas Rhin",75
"Alsace - Haut Rhin",76
"Aquitaine - Dordogne",84
"Aquitaine - Gironde",81
"Aquitaine - Landes",78
"Aquitaine - Lot-et-Garonne",80
"Aquitaine - Pyrénées-Atlantiques",81
"Auvergne - Allier",80
"Auvergne - Cantal",81
"Auvergne - Haute Loire",84
"Auvergne - Puy-de-Dôme",78
"Basse Normandie - Calvados",83
"Basse Normandie - Manche",80
"Basse Normandie - Orne",82
"Bourgogne - Côte-d'Or",75
"Bourgogne - Nièvre",82
"Bourgogne - Saône-et-Loire",79
"Bourgogne - Yonne",81
"Bretagne - Côtes-d'Armor",78
"Bretagne - Finistère",79
"Bretagne - Ille-et-Vilaine",75
"Bretagne - Morbihan",81
"Centre - Cher",79
"Centre - Eure-Et-Loir",81
"Centre - Indre",83
"Centre - Indre-et-Loire",83
"Centre - Loir-et-Cher",82
"Centre - Loiret",79
"Champagne-Ardenne - Ardennes",75
"Champagne-Ardenne - Aube",78
"Champagne-Ardenne - Marne",77
"Champagne-Ardenne - Haute-Marne",71
"Corse - Corse-du-Sud",77
"Corse - Haute Corse",80
"Franche-Comté - Doubs",77
"Franche-Comté - Jura",76
"Franche-Comté - Haute Saône",80
"Franche-Comté - Territoire de Belfort",81
"Haute-Normandie - Eure",81
"Haute-Normandie - Seine-Maritime",80
"Île-de-France - Paris",82
"Île-de-France - Seine-et-Marne",85
"Île-de-France - Yvelines",83
"Île-de-France - Essonne",82
"Île-de-France - Hauts de Seine",81
"Île-de-France - Seine-Saint-Denis",76
"Île-de-France - Val-de-Marne",88
"Île-de-France - Val-d'Oise",84
"Languedoc-Roussillon - Aude",81
"Languedoc-Roussillon - Gard",82
"Languedoc-Roussillon - Hérault",84
"Languedoc-Roussillon - Lozère",83
"Languedoc-Roussillon - Pyrénées-Orientales",80
"Limousin - Corrèze",80
"Limousin - Creuse",76
"Limousin - Haute Vienne",84
"Lorraine - Meurthe-et-Moselle",79
"Lorraine - Meuse",80
"Lorraine - Moselle",77
"Lorraine - Vosges",82
"Midi-Pyrénées - Ariège",82
"Midi-Pyrénées - Aveyron",80
"Midi-Pyrénées - Haute Garonne",82
"Midi-Pyrénées - Gers",79
"Midi-Pyrénées - Lot",85
"Midi-Pyrénées - Hautes Pyrénées",77
"Midi-Pyrénées - Tarn",83
"Midi-Pyrénées - Tarn-et-Garonne",86
"Nord-Pas-de-Calais - Nord",82
"Nord-Pas-de-Calais - Pas-de-Calais",80
"Pays de la Loire - Loire-Atlantique",79
"Pays de la Loire - Maine-et-Loire",74
"Pays de la Loire - Mayenne",81
"Pays de la Loire - Sarthe",85
"Pays de la Loire - Vendée",79
"Picardie - Aisne",79
"Picardie - Oise",80
"Picardie - Somme",76
"Poitou-Charentes - Charente",79
"Poitou-Charentes - Charente-Maritime",80
"Poitou-Charentes - Deux Sèvres",82
"Poitou-Charentes - Vienne",85
"Provence-Alpes-Côte d'Azur - Alpes-de-Haute-Provence",81
"Provence-Alpes-Côte d'Azur - Hautes-Alpes",82
"Provence-Alpes-Côte d'Azur - Alpes-Maritimes",82
"Provence-Alpes-Côte d'Azur - Bouches-du-Rhône",80
"Provence-Alpes-Côte d'Azur - Var",83
"Provence-Alpes-Côte d'Azur - Vaucluse",81
"Rhône-Alpes - Ain",79
"Rhône-Alpes - Ardèche",81
"Rhône-Alpes - Drôme",81
"Rhône-Alpes - Isère",79
"Rhône-Alpes - Loire",79
"Rhône-Alpes - Rhône",87
"Rhône-Alpes - Savoie",78
"Rhône-Alpes - Haute Savoie",80
"Martinique - Martinique",83
"La Réunion - Réunion",77
